id,question_vi,question_type,difficulty,expected_route,gold_sql,expected_answer_vi,row_count,tables_used,columns_used,metrics,dimensions,notes
GQ001,Tổng số hộ rà soát theo từng năm là bao nhiêu?,total_count,easy,DATASET_QA,"SELECT ""administrative.year"" AS year, COUNT(*) AS household_count FROM households GROUP BY year ORDER BY year;","Theo kết quả truy vấn, tổng số hộ khảo sát năm 2023 được ghi nhận là 13.446 hộ.",2,households,administrative.year,household_count,year,Đếm tổng số hộ rà soát nhóm theo năm.
GQ002,Năm 2024 có bao nhiêu hộ nghèo?,filtered_count,easy,DATASET_QA,"SELECT COUNT(*) AS poor_household_count FROM households WHERE ""administrative.year"" = 2024 AND ""classify"" = 'Hộ nghèo';","Theo dữ liệu truy vấn, năm 2024 có 2.446 hộ nghèo.",1,households,"administrative.year,classify",poor_household_count,,Đếm số hộ nghèo năm 2024 có lọc điều kiện.
GQ003,Có bao nhiêu hộ cận nghèo trong năm 2024?,filtered_count,easy,DATASET_QA,"SELECT COUNT(*) AS near_poor_household_count FROM households WHERE ""administrative.year"" = 2024 AND ""classify"" = 'Hộ cận nghèo';","Theo dữ liệu truy vấn, năm 2024 có 3.683 hộ cận nghèo.",1,households,"administrative.year,classify",near_poor_household_count,,Đếm số hộ cận nghèo năm 2024 có lọc điều kiện.
GQ004,Số hộ nghèo theo từng huyện trong năm 2024 là bao nhiêu?,aggregate_by_dimension,easy,DATASET_QA,"SELECT ""administrative.district"" AS district, COUNT(*) AS poor_household_count FROM households WHERE ""administrative.year"" = 2024 AND ""classify"" = 'Hộ nghèo' GROUP BY district ORDER BY poor_household_count DESC;","Theo kết quả truy vấn, số hộ nghèo theo từng huyện trong năm 2024 là bao nhiêu? được liệt kê chi tiết. Địa phương/nhóm có giá trị cao nhất là Huyện Tuy Đức với 829 hộ.",8,households,"administrative.year,classify,administrative.district",poor_household_count,district,Số hộ nghèo năm 2024 phân tổ theo huyện.
GQ005,Thống kê số lượng hộ cận nghèo theo huyện năm 2024.,aggregate_by_dimension,easy,DATASET_QA,"SELECT ""administrative.district"" AS district, COUNT(*) AS near_poor_household_count FROM households WHERE ""administrative.year"" = 2024 AND ""classify"" = 'Hộ cận nghèo' GROUP BY district ORDER BY near_poor_household_count DESC;","Theo kết quả truy vấn, thống kê số lượng hộ cận nghèo theo huyện năm 2024. được liệt kê chi tiết. Địa phương/nhóm có giá trị cao nhất là Huyện Tuy Đức với 917 hộ.",8,households,"administrative.year,classify,administrative.district",near_poor_household_count,district,Số hộ cận nghèo năm 2024 phân tổ theo huyện.
GQ006,Số lượng hộ nghèo và cận nghèo của từng xã thuộc Huyện Tuy Đức năm 2024 là bao nhiêu?,aggregate_by_dimension,easy,DATASET_QA,"SELECT ""administrative.commune"" AS commune, COUNT(*) AS household_count FROM households WHERE ""administrative.year"" = 2024 AND ""administrative.district"" = 'Huyện Tuy Đức' GROUP BY commune ORDER BY household_count DESC;","Theo kết quả truy vấn, số lượng hộ nghèo và cận nghèo của từng xã thuộc huyện tuy đức năm 2024 là bao nhiêu? được liệt kê chi tiết. Địa phương/nhóm có giá trị cao nhất là Xã Quảng Tâm với 320 hộ.",6,households,"administrative.year,administrative.district,administrative.commune",household_count,commune,Tổng số hộ khảo sát của Huyện Tuy Đức năm 2024 theo từng xã.
GQ007,Điểm B1 trung bình của các hộ khảo sát năm 2024 là bao nhiêu?,average_measure,easy,DATASET_QA,"SELECT ROUND(AVG(b1Point), 2) AS avg_b1 FROM households WHERE ""administrative.year"" = 2024;","Theo kết quả truy vấn, điểm trung bình chung được ghi nhận là 125.34 điểm.",1,households,"administrative.year,b1Point",avg_b1,,Trung bình điểm B1 năm 2024 toàn tỉnh.
GQ008,Điểm B2 trung bình của các hộ khảo sát năm 2024 là bao nhiêu?,average_measure,easy,DATASET_QA,"SELECT ROUND(AVG(b2Point), 2) AS avg_b2 FROM households WHERE ""administrative.year"" = 2024;","Theo kết quả truy vấn, điểm trung bình chung được ghi nhận là 23.67 điểm.",1,households,"administrative.year,b2Point",avg_b2,,Trung bình điểm B2 năm 2024 toàn tỉnh.
GQ009,Thống kê số hộ nghèo theo từng xã trong năm 2023.,aggregate_by_dimension,easy,DATASET_QA,"SELECT ""administrative.commune"" AS commune, COUNT(*) AS poor_household_count FROM households WHERE ""administrative.year"" = 2023 AND ""classify"" = 'Hộ nghèo' GROUP BY commune ORDER BY poor_household_count DESC;","Theo kết quả truy vấn, thống kê số hộ nghèo theo từng xã trong năm 2023. được liệt kê chi tiết. Địa phương/nhóm có giá trị cao nhất là Xã Đắk Búk So với 283 hộ.",71,households,"administrative.year,classify,administrative.commune",poor_household_count,commune,Đếm số hộ nghèo năm 2023 phân tổ theo xã.
GQ010,Danh sách các hộ nghèo tại Huyện Cư Jút năm 2025 là bao nhiêu?,empty_result_test,easy,DATASET_QA,"SELECT ""family.code"" AS household_id, ""family.hostName"" AS host_name FROM households WHERE ""administrative.year"" = 2025 AND ""administrative.district"" = 'Huyện Cư Jút' AND ""classify"" = 'Hộ nghèo' LIMIT 5;","Theo kết quả truy vấn thử nghiệm, không có bản ghi dữ liệu nào thỏa mãn các điều kiện lọc được yêu cầu.",0,households,"family.code,family.hostName,administrative.year,administrative.district,classify",,"household_id,host_name",Lọc điều kiện theo năm 2025 không có dữ liệu để kiểm tra trả về rỗng.
