quest,para_quest
"Năm 2023, Huyện Tuy Đức có bao nhiêu hộ nghèo?",Số hộ thuộc diện nghèo ở Tuy Đức trong năm 2023 là bao nhiêu?
Đắk Mil năm 2024 có bao nhiêu hộ cận nghèo?,"Trong năm 2024, số lượng hộ cận nghèo tại huyện Đắk Mil là bao nhiêu?"
Gia Nghĩa năm 2024 có tổng bao nhiêu hộ nghèo và cận nghèo?,Tổng số hộ thuộc nhóm nghèo và cận nghèo ở thành phố Gia Nghĩa năm 2024 là bao nhiêu?
So sánh số hộ nghèo giữa Krông Nô và Đắk Song năm 2024.,"Năm 2024, huyện Krông Nô hay Đắk Song có số hộ nghèo nhiều hơn?"
Huyện nào có số hộ nghèo cao nhất năm 2023?,"Trong năm 2023, địa phương nào đứng đầu về số lượng hộ nghèo?"
Huyện Đắk RLấp năm 2024 có bao nhiêu hộ nghèo thiếu bảo hiểm y tế?,"Trong nhóm hộ nghèo ở Đắk RLấp năm 2024, số hộ không có BHYT là bao nhiêu?"
Huyện nào có nhiều hộ nghèo thiếu nước sạch nhất năm 2024?,"Năm 2024, địa phương nào có số hộ nghèo bị thiếu nước sạch cao nhất?"
Số hộ nghèo ở Đắk Song thay đổi như thế nào từ 2023 đến 2024?,Huyện Đắk Song năm 2024 có số hộ nghèo tăng hay giảm so với năm 2023?
Có bao nhiêu trẻ em thuộc hộ nghèo hoặc cận nghèo trong năm 2024?,"Năm 2024, tổng số trẻ em trong các hộ nghèo và cận nghèo là bao nhiêu?"
Dân tộc nào có số hộ nghèo nhiều nhất năm 2024?,"Trong năm 2024, nhóm dân tộc nào chiếm tỷ lệ hộ nghèo cao nhất?"
